nohup: ignoring input
/data2/ranran/chenghaoyue/ISGFAN/Data/dataset.py:176: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  cache = torch.load(TEST_DATA_PATH)

Initializing data loaders ...

Loading existing test dataset from /data2/ranran/chenghaoyue/ISGFAN/Data/test_dataset.pt

Data Statistics
Source Train : 2100
Target (no y): 2100
Test (y)     : 2100
2026-03-06 02:19:10,867 - INFO - [Epoch 510/3500] loss_total=0.552545, loss_main=0.123579, loss_diff_source=87.207431, loss_label_inv=2.291290, loss_global_dom=0.673567, loss_recon=0.138905, loss_local_dom=0.660783, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.6221, lr=0.00009492, epoch_time=00:00:04, eta=03:40:08
2026-03-06 02:19:55,235 - INFO - [Epoch 520/3500] loss_total=0.544193, loss_main=0.115856, loss_diff_source=86.011960, loss_label_inv=2.289201, loss_global_dom=0.673345, loss_recon=0.130814, loss_local_dom=0.691985, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.6308, lr=0.00009473, epoch_time=00:00:04, eta=03:39:25
2026-03-06 02:20:40,052 - INFO - [Epoch 530/3500] loss_total=0.555849, loss_main=0.127766, loss_diff_source=86.710784, loss_label_inv=2.308413, loss_global_dom=0.669409, loss_recon=0.129343, loss_local_dom=0.665316, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.6393, lr=0.00009452, epoch_time=00:00:04, eta=03:38:44
2026-03-06 02:21:25,031 - INFO - [Epoch 540/3500] loss_total=0.507585, loss_main=0.088304, loss_diff_source=86.496535, loss_label_inv=2.301230, loss_global_dom=0.668982, loss_recon=0.130400, loss_local_dom=0.665236, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.6477, lr=0.00009432, epoch_time=00:00:04, eta=03:38:04
2026-03-06 02:22:09,294 - INFO - [Epoch 550/3500] loss_total=0.467141, loss_main=0.080903, loss_diff_source=87.970605, loss_label_inv=2.312763, loss_global_dom=0.671021, loss_recon=0.129318, loss_local_dom=0.681654, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.6559, lr=0.00009411, epoch_time=00:00:04, eta=03:37:21
2026-03-06 02:22:54,575 - INFO - [Epoch 560/3500] loss_total=0.524036, loss_main=0.099838, loss_diff_source=87.803233, loss_label_inv=2.314551, loss_global_dom=0.667729, loss_recon=0.128416, loss_local_dom=0.690826, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.6639, lr=0.00009390, epoch_time=00:00:04, eta=03:36:42
2026-03-06 02:23:39,183 - INFO - [Epoch 570/3500] loss_total=0.530718, loss_main=0.097426, loss_diff_source=85.475280, loss_label_inv=2.294729, loss_global_dom=0.672937, loss_recon=0.128402, loss_local_dom=0.761999, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.6718, lr=0.00009368, epoch_time=00:00:04, eta=03:36:00
2026-03-06 02:24:23,726 - INFO - [Epoch 580/3500] loss_total=0.530620, loss_main=0.099481, loss_diff_source=89.858554, loss_label_inv=2.295061, loss_global_dom=0.675088, loss_recon=0.127423, loss_local_dom=0.811492, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.6796, lr=0.00009346, epoch_time=00:00:04, eta=03:35:17
2026-03-06 02:25:08,148 - INFO - [Epoch 590/3500] loss_total=0.510918, loss_main=0.091854, loss_diff_source=91.176013, loss_label_inv=2.303548, loss_global_dom=0.674283, loss_recon=0.129080, loss_local_dom=0.774698, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.6872, lr=0.00009324, epoch_time=00:00:04, eta=03:34:34
2026-03-06 02:25:52,528 - INFO - [Epoch 600/3500] loss_total=0.508303, loss_main=0.084977, loss_diff_source=86.485986, loss_label_inv=2.294361, loss_global_dom=0.674161, loss_recon=0.131127, loss_local_dom=0.820286, loss_centroid=0.000000, loss_consistency=0.000000, grl=0.6947, lr=0.00009302, epoch_time=00:00:04, eta=03:33:50
